Arribo,Fecha,Vacuna,Farmacéutica,Cantidad
1,23/12/2020,Pfizer,Pfizer-BioNTech,"2,925"
2,26/12/2020,Pfizer,Pfizer-BioNTech,"8,775"
3,26/12/2020,Pfizer,Pfizer-BioNTech,"34,125"
4,30/12/2020,Pfizer,Pfizer-BioNTech,"7,800"
5,05/01/2021,Pfizer,Pfizer-BioNTech,"44,850"
6,05/01/2021,Pfizer,Pfizer-BioNTech,"8,775"
7,12/01/2021,Pfizer,Pfizer-BioNTech,"439,725"
8,19/01/2021,Pfizer,Pfizer-BioNTech,"5,850"
9,19/01/2021,Pfizer,Pfizer-BioNTech,"213,525"
10,14/02/2021,AstraZeneca,AstraZeneca,"870,000"
11,16/02/2021,Pfizer,Pfizer-BioNTech,"4,875"
12,16/02/2021,Pfizer,Pfizer-BioNTech,"486,525"
13,20/02/2021,Sinovac,Sinovac,"200,000"
14,22/02/2021,Sputnik V,Sputnik V,"200,000"
15,23/02/2021,Pfizer,Pfizer-BioNTech,"125,775"
16,23/02/2021,Pfizer,Pfizer-BioNTech,"386,100"
17,27/02/2021,Sinovac,Sinovac,"800,000"
18,02/03/2021,Pfizer,Pfizer-BioNTech,"156,000"
19,02/03/2021,Pfizer,Pfizer-BioNTech,"106,275"
20,02/03/2021,Pfizer,Pfizer-BioNTech,"381,225"
21,02/03/2021,Pfizer,Pfizer-BioNTech,"208,650"
22,09/03/2021,Pfizer,Pfizer-BioNTech,"108,225"
23,09/03/2021,Pfizer,Pfizer-BioNTech,"72,150"
24,09/03/2021,Pfizer,Pfizer-BioNTech,"275,925"
25,09/03/2021,Pfizer,Pfizer-BioNTech,"144,300"
26,10/03/2021,Sputnik V,Sputnik V,"200,000"
27,13/03/2021,Sinovac,Sinovac,"1,000,000"
28,16/03/2021,Pfizer,Pfizer-BioNTech,"121,875"
29,16/03/2021,Pfizer,Pfizer-BioNTech,"103,350"
30,16/03/2021,Pfizer,Pfizer-BioNTech,"217,425"
31,16/03/2021,Pfizer,Pfizer-BioNTech,"225,225"
32,18/03/2021,Sinovac,Sinovac,"1,000,000"
33,23/03/2021,Pfizer,Pfizer-BioNTech,"487,500"
34,24/03/2021,Pfizer,Pfizer-BioNTech,"170,625"
35,25/03/2021,Sinovac,Sinovac,"1,000,000"
36,27/03/2021,CanSino,CanSino Biologics,"65,000"
37,28/03/2021,AstraZeneca,AstraZeneca,"1,500,00"
38,30/03/2021,Pfizer,Pfizer-BioNTech,"487,500"
39,31/03/2021,Sputnik V,Sputnik V,"500,000"
40,31/03/2021,Pfizer,Pfizer-BioNTech,"145,275"
41,01/04/2021,AstraZeneca,AstraZeneca,"1,219,300"
42,05/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
43,08/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
44,09/04/2021,Pfizer,Pfizer-BioNTech,"327,600"
45,12/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
46,15/04/2021,Sinovac,Sinovac,"500,000"
47,15/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
48,16/04/2021,Pfizer,Pfizer-BioNTech,"328,575"
49,21/04/2021,Sputnik V,Sputnik V,"200,000"
50,21/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
51,21/04/2021,AstraZeneca,AstraZeneca,"1,075,200"
52,22/04/2021,Pfizer,Pfizer-BioNTech,"374,400"
53,24/04/2021,Sinovac,Sinovac,"500,000"
54,28/04/2021,Pfizer,Pfizer-BioNTech,"487,500"
55,29/04/2021,Pfizer,Pfizer-BioNTech,"585,000"
56,29/04/2021,Sputnik V,Sputnik V,"800,000"
57,30/04/2021,Pfizer,Pfizer-BioNTech,"938,340"
58,06/05/2021,Sinovac,Sinovac,"1,000,000"
59,11/05/2021,Pfizer,Pfizer-BioNTech,"585,000"
60,12/05/2021,Pfizer,Pfizer-BioNTech,"250,380"
61,13/05/2021,Pfizer,Pfizer-BioNTech,"585,000"
62,15/05/2021,CanSino,CanSino Biologics,"35,000"
63,17/05/2021,Sputnik V,Sputnik V,"500,000"
64,19/05/2021,Pfizer,Pfizer-BioNTech,"585,000"
65,20/05/2021,Pfizer,Pfizer-BioNTech,"114,660"
66,20/05/2021,Pfizer,Pfizer-BioNTech,"585,000"
67,20/05/2021,Sinovac,Sinovac,"1,000,000"
68,21/05/2021,AstraZeneca,AstraZeneca,"1,274,800"
69,23/05/2021,AstraZeneca,AstraZeneca,"709,300"
70,25/05/2021,Pfizer,Pfizer-BioNTech,"114,660"
71,26/05/2021,Pfizer,Pfizer-BioNTech,"585,000"
72,27/05/2021,Pfizer,Pfizer-BioNTech,"585,000"
73,27/05/2021,AstraZeneca,AstraZeneca,"2,229,600"
74,30/05/2021,AstraZeneca,AstraZeneca,"2,195,400"
75,01/06/2021,Pfizer,Pfizer-BioNTech,"288,990"
76,02/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
77,03/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
78,03/06/2021,Sinovac,Sinovac,"1,000,000"
79,06/06/2021,Sputnik V,Sputnik V,"1,000,000"
80,08/06/2021,Pfizer,Pfizer-BioNTech,"288,990"
81,09/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
82,10/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
83,11/06/2021,Sputnik V,Sputnik V,"300,000"
84,14/06/2021,AstraZeneca,AstraZeneca,"1,100,000"
85,14/06/2021,Sputnik V,Sputnik V,"50,000"
86,15/06/2021,Pfizer,Pfizer-BioNTech,"290,160"
87,15/06/2021,Janssen,Johnson&Johnson,"1,350,000"
88,16/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
89,17/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
90,20/06/2021,AstraZeneca,AstraZeneca,"1,221,300"
91,22/06/2021,Pfizer,Pfizer-BioNTech,"290,160"
92,23/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
93,24/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
94,29/06/2021,Pfizer,Pfizer-BioNTech,"291,330"
95,30/06/2021,Pfizer,Pfizer-BioNTech,"585,000"
96,30/06/2021,Sinovac,Sinovac,"1,000,000"
97,30/06/2021,Sputnik V,Sputnik V,"350,000"
98,01/07/2021,Pfizer,Pfizer-BioNTech,"585,000"
99,02/07/2021,AstraZeneca,AstraZeneca,"2,395,300"
100,07/07/2021,Pfizer,Pfizer-BioNTech,"232,830"
101,07/07/2021,Sinovac,Sinovac,"1,000,000"
102,08/07/2021,Sinovac,Sinovac,"1,000,000"
103,10/07/2021,Sinovac,Sinovac,"1,000,000"
104,13/07/2021,Pfizer,Pfizer-BioNTech,"296,010"
105,14/07/2021,Sinovac,Sinovac,"1,000,000"
106,15/07/2021,Sputnik V,Sputnik V,"300,000"
107,15/07/2021,AstraZeneca,AstraZeneca,"1,148,900"
108,17/07/2021,Sinovac,Sinovac,"1,000,000"
109,19/07/2021,Pfizer,Pfizer-BioNTech,"585,000"
110,20/07/2021,Pfizer,Pfizer-BioNTech,"446,940"
111,20/07/2021,Pfizer,Pfizer-BioNTech,"106,470"
112,21/07/2021,Pfizer,Pfizer-BioNTech,"585,000"
113,21/07/2021,Sinovac,Sinovac,"2,000,000"
114,24/07/2021,Sinovac,Sinovac,"2,000,000" 
115,27/07/2021,Pfizer,Pfizer-BioNTech,"408,330"
116,28/07/2021,Sinovac,Sinovac,"2,000,000"
117,28/07/2021,Pfizer,Pfizer-BioNTech,"585,000"
118,01/08/2021,Sputnik V,Sputnik V,"100,000"
119,03/08/2021,Pfizer,Pfizer-BioNTech,"313,560"
120,04/08/2021,Pfizer,Pfizer-BioNTech,"585,000"
121,10/08/2021,Pfizer,Pfizer-BioNTech,"288,990"
122,11/08/2021,Pfizer,Pfizer-BioNTech,"585,000"
123,15/08/2021,Sputnik V,Sputnik V,"150,000"
